model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
XGBoost (Balanced),0.6762080120329613,0.02088926920980451,0.585,0.6127450980392157,0.7331378299120235,0.6675567423230975,0.5980140173688561,0.6405920636250212,0.0929102897644043
Gradient Boosting,0.6674797257694091,0.016133608138491632,0.5883333333333334,0.6180904522613065,0.7214076246334311,0.6657645466847091,0.6014221175511498,0.6375024482954881,0.2282850742340088
Random Forest (Balanced),0.639547690049957,0.019686219739804355,0.575,0.6235632183908046,0.6363636363636364,0.6298984034833092,0.5720399913948301,0.5998146903377554,0.3663506507873535
Logistic Regression (Balanced),0.6156967512926663,0.02177891678924348,0.5683333333333334,0.6722689075630253,0.46920821114369504,0.5526770293609672,0.617839875904392,0.6588937623124255,0.021991968154907227
