model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.5773448077355458,0.020801680370665748,0.6383333333333333,0.5257352941176471,0.6190476190476191,0.5685884691848907,0.6953389880219149,0.5653232200230247,0.02256178855895996
Random Forest (Balanced),0.5146460626556312,0.004459406938341533,0.665,0.5652173913043478,0.5627705627705628,0.5639913232104121,0.6938431938431938,0.5753019273755198,0.39225316047668457
XGBoost (Balanced),0.5721981103655661,0.011403161287599396,0.6433333333333333,0.5330739299610895,0.5930735930735931,0.5614754098360656,0.6958258543624396,0.5968631065787449,0.13562726974487305
Gradient Boosting,0.4662000945196733,0.010553774469541503,0.6933333333333334,0.6459627329192547,0.45021645021645024,0.5306122448979592,0.69674679430777,0.5782134040511524,0.46737003326416016
