model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.8028315267796075,0.006783501089469526,0.8483333333333334,0.7625,0.8433179723502304,0.8008752735229759,0.9154985501317516,0.8736572185402115,0.024394989013671875
XGBoost (Balanced),0.7885073951838887,0.010462978460257911,0.83,0.7405857740585774,0.815668202764977,0.7763157894736842,0.9119550961966527,0.8614394574381653,0.11074638366699219
Gradient Boosting,0.7746788623981606,0.019205779115891077,0.84,0.7867298578199052,0.7649769585253456,0.7757009345794392,0.9101322327971026,0.8536871103698167,0.39815211296081543
Random Forest (Balanced),0.7739775149034683,0.009469318049854238,0.83,0.7555555555555555,0.783410138248848,0.7692307692307693,0.8991228597899195,0.8420009685011292,0.37229228019714355
