model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.9591129291742888,0.017846568367211744,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953703703703703,0.9931011971184138,0.024013280868530273
XGBoost (Balanced),0.9410408856061029,0.014085290637870914,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9933862433862433,0.9914514889278631,0.18083858489990234
Random Forest (Balanced),0.9338744588744589,0.016376715495013114,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9965277777777777,0.9946507058107795,0.3334822654724121
Gradient Boosting,0.9078443833220113,0.009545289570455532,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9937169312169312,0.9903434593354596,0.6120438575744629
