model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
XGBoost (Balanced),0.517986325642667,0.014226051238230267,0.7633333333333333,0.47337278106508873,0.6015037593984962,0.5298013245033113,0.7902786945951602,0.5296854411023196,0.1679675579071045
Logistic Regression (Balanced),0.4895426855609644,0.002800091839428906,0.7333333333333333,0.43005181347150256,0.6240601503759399,0.50920245398773,0.7637455523176249,0.5465210214346707,0.025374412536621094
Gradient Boosting,0.39185014820131947,0.008971822952890724,0.8116666666666666,0.6470588235294118,0.3308270676691729,0.43781094527363185,0.7944164479721789,0.5425909602768811,0.8075387477874756
Random Forest (Balanced),0.3357586122670086,0.02124887690197004,0.7933333333333333,0.5555555555555556,0.3383458646616541,0.4205607476635514,0.7858511374796734,0.5198156622002071,0.42053842544555664
