model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.43549388088659446,0.020760744261364584,0.6816666666666666,0.28888888888888886,0.6770833333333334,0.40498442367601245,0.7391906415343915,0.4036798870337892,0.02488565444946289
XGBoost (Balanced),0.40852544681436687,0.027401093761882447,0.7183333333333334,0.2937853107344633,0.5416666666666666,0.38095238095238093,0.724495701058201,0.39112916129393727,0.14798784255981445
Random Forest (Balanced),0.3003142765604791,0.02822058619851728,0.815,0.38461538461538464,0.2604166666666667,0.3105590062111801,0.7197007275132276,0.3379298279631754,0.3986508846282959
Gradient Boosting,0.2838202521598437,0.04317262704483031,0.8366666666666667,0.46875,0.15625,0.234375,0.7183366402116401,0.37243219839695185,0.6141049861907959
