model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Gradient Boosting,0.870060345686784,0.0030965433867967598,0.7966666666666666,0.8276515151515151,0.9337606837606838,0.8775100401606426,0.7812095312095312,0.919575637121387,0.3009929656982422
XGBoost (Balanced),0.8739703604194005,0.000494788020199121,0.7933333333333333,0.8269961977186312,0.9294871794871795,0.8752515090543259,0.785798692048692,0.9184979398007351,0.09258174896240234
Random Forest (Balanced),0.8297955912780015,0.007531075607556689,0.7283333333333334,0.8588235294117647,0.7799145299145299,0.8174692049272116,0.7394862082362084,0.9012395072500952,0.36044931411743164
Logistic Regression (Balanced),0.7978039395549672,0.018273808961937574,0.7166666666666667,0.9257142857142857,0.6923076923076923,0.7921760391198044,0.8161988474488473,0.9328672152093807,0.023677587509155273
