model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Random Forest (Balanced),0.8352478840920643,0.0011972875289203233,0.7583333333333333,0.8125,0.8227848101265823,0.8176100628930818,0.8047792528558197,0.8845254933913058,0.38652968406677246
Gradient Boosting,0.8367378492615685,0.005424649033341143,0.75,0.788235294117647,0.8481012658227848,0.8170731707317073,0.8035196048163011,0.8871854621558564,0.46539831161499023
XGBoost (Balanced),0.8372486135171521,0.011470225398613249,0.7483333333333333,0.7890995260663507,0.8430379746835444,0.8151774785801713,0.8150416795307194,0.8955733148724184,0.10824418067932129
Logistic Regression (Balanced),0.8188326704528377,0.004340044911640163,0.765,0.8628571428571429,0.7645569620253164,0.810738255033557,0.833096634763816,0.9044991317013232,0.026081085205078125
