model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.7171107039502695,0.021009472238263726,0.78,0.6931034482758621,0.8237704918032787,0.7528089887640449,0.8476814330447595,0.8035305068957151,0.03270530700683594
XGBoost (Balanced),0.6850474847343359,0.02873819420893542,0.77,0.6790540540540541,0.8237704918032787,0.7444444444444445,0.8409582796095045,0.7871479870185412,0.14530372619628906
Random Forest (Balanced),0.6768686255389351,0.020928801997601543,0.7766666666666666,0.7052238805970149,0.7745901639344263,0.73828125,0.8300101307791491,0.7585179886018383,0.41837406158447266
Gradient Boosting,0.6635397584809245,0.020772581911162977,0.7766666666666666,0.7235772357723578,0.7295081967213115,0.726530612244898,0.8325543378154355,0.7682241137358267,0.5534219741821289
