model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.5825795966758426,0.018764879137953442,0.6483333333333333,0.5384615384615384,0.6609442060085837,0.5934489402697495,0.7050145595303527,0.5915571398672057,0.0315394401550293
XGBoost (Balanced),0.5838839227879259,0.01335236633218308,0.64,0.5300353356890459,0.6437768240343348,0.5813953488372093,0.6996994538714317,0.5948463709021355,0.11351442337036133
Random Forest (Balanced),0.5203952350299191,0.02004349344624063,0.6466666666666666,0.5425101214574899,0.575107296137339,0.5583333333333333,0.6869642502134228,0.583693970382555,0.39054393768310547
Gradient Boosting,0.5110820800338015,0.025264589288373815,0.685,0.6145833333333334,0.5064377682403434,0.5552941176470588,0.6973430318906338,0.5824702080787726,0.4321892261505127
