model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.7257223414660149,0.027256913003741192,0.7266666666666667,0.6485507246376812,0.7276422764227642,0.685823754789272,0.8256281291626475,0.7816069691661436,0.022897720336914062
XGBoost (Balanced),0.6993083366521619,0.02487595226206691,0.71,0.6267605633802817,0.7235772357723578,0.6716981132075471,0.8081737173303937,0.7683225096376879,0.11958575248718262
Random Forest (Balanced),0.6903725426562047,0.028410443369432253,0.715,0.6447876447876448,0.6788617886178862,0.6613861386138614,0.8034656194019567,0.7500632243969497,0.3695693016052246
Gradient Boosting,0.6788460434119264,0.030366221072757483,0.71,0.6475409836065574,0.6422764227642277,0.6448979591836734,0.80251251665059,0.749547360709979,0.46002817153930664
