model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.7053393892574084,0.019135775866547196,0.7333333333333333,0.6929133858267716,0.6821705426356589,0.6875,0.7977469513577226,0.747737985818042,0.03742575645446777
XGBoost (Balanced),0.6896184882480764,0.02466319082435451,0.72,0.6814516129032258,0.6550387596899225,0.6679841897233202,0.7859150460129654,0.7310015445274087,0.14728450775146484
Random Forest (Balanced),0.6761367726199369,0.01881923192647735,0.72,0.6939655172413793,0.624031007751938,0.6571428571428571,0.7916496668026656,0.7272219051200639,0.3837904930114746
Gradient Boosting,0.6810853415751613,0.02185080329382371,0.7033333333333334,0.6801801801801802,0.5852713178294574,0.6291666666666667,0.7844530577088717,0.7309015620719429,0.6720058917999268
