model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.5495317408931361,0.017939549510564957,0.7,0.4418604651162791,0.76,0.5588235294117647,0.7825925925925925,0.5934961222896649,0.027384281158447266
XGBoost (Balanced),0.5374989736081405,0.010476406030930394,0.69,0.4262295081967213,0.6933333333333334,0.5279187817258884,0.7721185185185185,0.5539785248903375,0.09605121612548828
Random Forest (Balanced),0.45871515542500974,0.0146076090828136,0.695,0.42105263157894735,0.5866666666666667,0.49025069637883006,0.7289925925925926,0.47597513844329864,0.41169166564941406
Gradient Boosting,0.3774943857746405,0.03452452424445774,0.7866666666666666,0.6486486486486487,0.32,0.42857142857142855,0.7697037037037038,0.540832525379981,0.3009052276611328
