model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.5609475310554436,0.015051786174445003,0.77,0.5,0.7971014492753623,0.6145251396648045,0.8586015433841521,0.6811369753752683,0.025314807891845703
XGBoost (Balanced),0.5332782435110998,0.012165416760600263,0.78,0.5159574468085106,0.7028985507246377,0.5950920245398773,0.8423207227555053,0.6512723274360145,0.12613844871520996
Random Forest (Balanced),0.49585783471753525,0.022255596085375008,0.8166666666666667,0.6076923076923076,0.572463768115942,0.5895522388059702,0.8450341928602798,0.6429430230532559,0.4030172824859619
Gradient Boosting,0.49113476621672314,0.03464240716244089,0.8116666666666666,0.6506024096385542,0.391304347826087,0.48868778280542985,0.8389171215258172,0.6481920004990265,0.580756664276123
