model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
XGBoost (Balanced),0.7959732005450041,0.029469946903909743,0.7413793103448276,0.7523809523809524,0.9518072289156626,0.8404255319148937,0.7656078860898139,0.8986122985377961,0.12171292304992676
Random Forest (Balanced),0.8133278888869583,0.011412466239773947,0.7413793103448276,0.7572815533980582,0.9397590361445783,0.8387096774193549,0.801387367652428,0.9135593032044834,0.3785126209259033
Gradient Boosting,0.7949242066889126,0.01647338098876605,0.7327586206896551,0.76,0.9156626506024096,0.8306010928961749,0.7623220153340634,0.8999315759775731,0.31012415885925293
Logistic Regression (Balanced),0.6713974151580407,0.04381285260784035,0.6896551724137931,0.9122807017543859,0.6265060240963856,0.7428571428571429,0.7929901423877327,0.9195283231751106,0.025460004806518555
