model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Random Forest (Balanced),0.455212625031517,0.008389019753113536,0.7520862839089225,0.34350542112443455,0.6815785724462174,0.45679365988732934,0.8052170500246263,0.41752724215907844,2.7245543003082275
Logistic Regression (Balanced),0.4499785853467067,0.0027018967256503697,0.7143697570541453,0.31924492461118364,0.7662060122524577,0.450701864655353,0.8126498521401957,0.42616232482956284,2.083144187927246
XGBoost (Balanced),0.4507232609381879,0.002510118707876819,0.7085957075934197,0.3165309775391189,0.7810229377404189,0.45048894732517053,0.8140502574545908,0.43816937821140856,3.097594976425171
Gradient Boosting,0.21710280342358265,0.014595027917738859,0.8529687329774486,0.5745734727572922,0.14873913662914945,0.23630602082390223,0.8137164784204489,0.42904729173499556,5.78631854057312
