model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
XGBoost (Balanced),0.7654875463698994,0.007468254146032181,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9174107142857143,0.8954850358175755,0.08374619483947754
Logistic Regression (Balanced),0.7904993408042188,0.043512474322379306,0.8333333333333334,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9553571428571429,0.9519044244935687,0.01577162742614746
Random Forest (Balanced),0.7796814975754142,0.0447446039213207,0.8333333333333334,0.875,0.75,0.8076923076923077,0.9397321428571428,0.9324503533599476,0.3290538787841797
Gradient Boosting,0.7484392887924823,0.025807537435821308,0.7833333333333333,0.8260869565217391,0.6785714285714286,0.7450980392156863,0.8984375,0.8813586782784226,0.195237398147583
