model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.6017737960079758,0.019166824816990575,0.6783333333333333,0.5625,0.6740088105726872,0.6132264529058116,0.7354879474672555,0.644868213498942,0.024734973907470703
XGBoost (Balanced),0.5854055943641611,0.004852206042883215,0.65,0.5306859205776173,0.6475770925110133,0.5833333333333334,0.6949073472617543,0.6006692496593828,0.1079413890838623
Random Forest (Balanced),0.5165444697351709,0.014509025594537088,0.6433333333333333,0.5247148288973384,0.6079295154185022,0.563265306122449,0.6667217819560416,0.5584117102477908,0.40415215492248535
Gradient Boosting,0.4904558522567552,0.008845315877710598,0.6866666666666666,0.6054054054054054,0.4933920704845815,0.5436893203883495,0.6940865231307058,0.6004940076306045,0.3561515808105469
