model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Logistic Regression (Balanced),0.270082978950404,0.0039958257826596495,0.575,0.210727969348659,0.5288461538461539,0.3013698630136986,0.5818276985111663,0.21575387020887274,0.018592357635498047
XGBoost (Balanced),0.2394179222461749,0.006566711665628614,0.615,0.1452513966480447,0.25,0.18374558303886926,0.48410359801488834,0.18246763067932806,0.11857438087463379
Random Forest (Balanced),0.09519842249139232,0.012520614035057082,0.7883333333333333,0.1891891891891892,0.0673076923076923,0.09929078014184398,0.5073278535980149,0.18263955593814699,0.3777468204498291
Gradient Boosting,0.0574910697116637,0.024631603389190036,0.8183333333333334,0.0,0.0,0.0,0.5212662841191067,0.1804550930641693,0.5106000900268555
