model_name,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,training_seconds
Random Forest (Balanced),0.455674715613467,0.00986643826741776,0.7517376620546901,0.34308873108098414,0.6814361020088332,0.4563931297709924,0.8054375482765379,0.4178099132500199,3.218745231628418
XGBoost (Balanced),0.45141519520147994,0.0006782752549280048,0.712343392526419,0.318328730093436,0.7717623593104431,0.4507405558329173,0.8123504795187861,0.4342791508100849,3.592388868331909
Logistic Regression (Balanced),0.4499785853467067,0.0027018967256503697,0.7143697570541453,0.31924492461118364,0.7662060122524577,0.450701864655353,0.8126498521401957,0.42616232482956284,2.1849184036254883
Naive Bayes,0.43660578156027424,0.005970011931879247,0.7176380869375749,0.3144445832812695,0.7170537113548938,0.4371769815418024,0.7804057313691831,0.3719609449396908,0.24989986419677734
Decision Tree (Balanced),0.4226750612551898,0.00380196139503067,0.6894432944765225,0.2967977528089888,0.7526713207009545,0.42572222893750755,0.7753619440279549,0.365646261973192,2.244277238845825
K-Nearest Neighbors,0.16176853545604253,0.008845181995256407,0.8454515742455605,0.4769326683291771,0.10898988459894572,0.17743244810390815,0.7602372078544294,0.33786720725496905,4.26587438583374
